,Text,Label,Clean Text
1106,@user @user Wife bet on Penn State! He is upset! ,0, user user wife bet penn state upset 
1107,@user We all know #Liberals' poll is completely a BS. ,0, user know liberal poll completely b 
1108,@user Stanced up ,0, user stanced 
1109,@user Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me. ,0, user former antifa white house arrest citizen arrest someone explain 
1110,@user He's going to need a pair of running shoes so he can look for work when he's sees we're not supporting his dumb ass movies anymore. 🤷‍♀️#walkaway ,0, user he going need pair running shoe look work he see supporting dumb as movie anymore walkaway 
1111,@user @user But Google can give Beijing every Americans phone number. You’re kidding me right?   MAGA 2020 ,0, user user google give beijing every american phone number youre kidding right   maga  
1112,@user @user @user @user Liberals have compassion ONLY for non Americans. ,0, user user user user liberal compassion non american 
1113,@user Fuckkk 😂😂 I know I seen bitch that’s a slapper lmao ,1, user fuckkk  know seen bitch thats slapper lmao 
1114,@user He is asleep.   Am I that boring?? ,0, user asleep   boring 
1115,@user @user @user @user @user @user Lol you are being mean. ,1, user user user user user user lol mean 
1116,@user I met him several years ago. He is the shorter than you’re expecting man. ,0, user met several year ago shorter youre expecting man 
1117,"@user It is poisonous indeed. No wonder she is called Vesha Bottle"""". The Beauty in Her eyes poisons every soul that stares into it."""" ",0, user poisonous indeed wonder called vesha bottle beauty eye poison every soul stare 
1118,@user @user Long time prisoners will also have a hard time while he is there. ,0, user user long time prisoner also hard time 
1119,@user It’s amazing that when things pertain to conservatives it’s guilty until proven innocent. Where is the Justice when lawless acts perpetrated by the left get ignored? ,0, user amazing thing pertain conservative guilty proven innocent justice lawless act perpetrated left get ignored 
1120,"@user Gun control measures?  As in Fast and Furious"""", where you directed FFL dealers to violate the law and allow straw purchases?  Where you knowingly allowed firearms to be sold to criminal organizations?"""" ",1, user gun control measure  fast furious directed ffl dealer violate law allow straw purchase  knowingly allowed firearm sold criminal organization 
1121,@user Clown ,1, user clown 
1122,@user @user We can empty all our prisons also and just say they broke no laws.....Liberal logic. ,0, user user empty prison also say broke lawsliberal logic 
1123,@user That one sucks bc he is so hit or miss ,1, user one suck bc hit miss 
1124,@user Chelsea Clinton(CFR) ,0, user chelsea clintoncfr 
1125,@user So Antifa has turned against her? ,0, user antifa turned 
1126,@user @user Mehn you are too sweet ,0, user user mehn sweet 
1127,@user @user This guy Kerry is one do nothing damn politician where does he get off going over sea's and trying to undermined our President now this is a Traitor for sure you better watch this S.O.B. ! ,1, user user guy kerry one nothing damn politician get going sea trying undermined president traitor sure better watch sob  
1128,"President Trump’s 17th Wave of Judicial Nominees""""  #TCOT #MAGA #RedNationRising"""" ",0, president trump th wave judicial nominee  tcot maga rednationrising 
1129,@user @user Leona will START something Big to come...LIBERALS sit in terror in  House of Commons...BETTER NOT CRITICIZE THE GROPER!!! ,0, user user leona start something big comeliberals sit terror  house commonsbetter criticize groper 
1130,@user @user coming from a guy who should be arrested and charged as an accessory. I hat a deranged individual. ,1, user user coming guy arrested charged accessory hat deranged individual 
1131,"@user The democrats are becoming more despicable by the day! There is no bottom to their vitriol and lies"""" barrel.  Why liberals go along with this makes no sense."""" ",1, user democrat becoming despicable day bottom vitriol lie barrel  liberal go along make sense 
1132,@user I cast my vote as “OPPORTUNIST” #ChristineBlaseyFord had THIRTY-FIVE years to come out with her allegations. Why now? It’s obvious. #MAGA ,0, user cast vote opportunist christineblaseyford thirtyfive year come allegation obvious maga 
1133,@user @user She is the bomb!! ,0, user user bomb 
1134,@user Good #BoycottNFL ,0, user good boycottnfl 
1135,@user This Witch Hunt against Kavanaughs is pitiful.  I can't believe anyone could find this story is believable.  Why didn't she come forward in 36 years?   It's crazy...set up by Liberals. ,0, user witch hunt kavanaughs pitiful  cant believe anyone could find story believable  didnt come forward  year   crazyset liberal 
1136,@user @user @user Thank you my lovely! You are beautiful too 💜💜 ,0, user user user thank lovely beautiful  
1137,@user @user He is such an A-Hole. Sad. ,1, user user ahole sad 
1138,@user IM SAVING THIS GOOD SHITTTT ,1, user im saving good shitttt 
1139,"@user @user Or maybe this...The very fine people"""" the dipshit """"president"""" was talking about.  Antifa isn't the """"left"""". They're a fringe, far left, anti fascist movement. To lump the """"left"""" in as antifa is to lump the """"right"""" in with the neo nazi's and kkk that vote with you...Shhh. ",1, user user maybe thisthe fine people dipshit president talking  antifa isnt left theyre fringe far left anti fascist movement lump left antifa lump right neo nazi kkk vote youshhh 
1140,@user No time for political correctness. It is a Lie. Everyone knows this. Behind the scenes the liberals are laughing. Take the vote. ,0, user time political correctness lie everyone know behind scene liberal laughing take vote 
1141,@user @user  You are pathetic! ,1, user user  pathetic 
1142,@user @user There is help for your mental illness.  Good grief you liberals are seriously disturbed. ,1, user user help mental illness  good grief liberal seriously disturbed 
1143,@user Liberals are all Kookoo !!! ,1, user liberal kookoo  
1144,@user babe i hope you are not wonting these women ,0, user babe hope wonting woman 
1145,@user @user @user @user @user @user H1v3 does good videos &amp; u do good work occasionally why focus on other activists rather than be productive? You might not support Antifa that's fine. Yes it has some funding from Soros undeniably doesn't mean everyone is paid by Soros. ,0, user user user user user user hv good video amp u good work occasionally focus activist rather productive might support antifa thats fine yes funding soros undeniably doesnt mean everyone paid soros 
1146,@user @user POS still at it ,0, user user po still 
1147,@user Another reason not to root for the Panthers...#MAGA ,0, user another reason root panthersmaga 
1148,@user @user So gun control works? ,0, user user gun control work 
1149,@user Liberals are SICK. This false accuser should be incarcerated for her bald-faced lies. ,1, user liberal sick false accuser incarcerated baldfaced lie 
1150,@user She is a hot one 🔥🔥🔥 ,0, user hot one  
1151,@user Love u bitch ,1, user love u bitch 
1152,@user  Could WE get some honest Law enforcement agencies to dig into @user Chinese Spy chauffeur. He may have been sexual assualted in High school.  Funny how an American citizen didn't qualify for the job.  VOTE #MAGA ,1, user  could get honest law enforcement agency dig user chinese spy chauffeur may sexual assualted high school  funny american citizen didnt qualify job  vote maga 
1153,@user Mom better watch out for the Moron's hands. He has at least 17 accusation of sexual harassment charges. He is also affected by Pee stained skin due to his liking to be peed on! ,1, user mom better watch moron hand least  accusation sexual harassment charge also affected pee stained skin due liking peed 
1154,.... and so it begins.   &lt;&lt;&lt;&lt; The unfair and biased and unjustified targeting of Conservatives in a massive CENSORSHIP OF CONSERVATIVES Exercise . &gt;&gt;&gt;&gt;  #Pray4TheUSA  #Pray4Revival ,1,  begin   ltltltlt unfair biased unjustified targeting conservative massive censorship conservative exercise  gtgtgtgt  praytheusa  prayrevival 
1155,@user Nobody is addressing the cow in the room. Not even when Florence is still doing her thing. It's like after a mass shooting and it's the wrong time to talk about gun control. @user ,1, user nobody addressing cow room even florence still thing like mass shooting wrong time talk gun control user 
1156,@user He is hurt and no one has checked on him!!! ,1, user hurt one checked 
1157,@user Disco pose with “white dude overbite” look. Classic 70s dance move. ,1, user disco pose white dude overbite look classic dance move 
1158,@user @user Why did Feinstein NOT come forward with that letter 6 weeks ago then?  No need then to question him way back then?   LOL you liberals are very funny.  I am sure the  #MeToo movement appreciates the set back you all just gave it. ,0, user user feinstein come forward letter  week ago  need question way back   lol liberal funny  sure  metoo movement appreciates set back gave 
1159,@user By defending and making excuses for obvious bad behavior....you're sure to get more of it. ,0, user defending making excuse obvious bad behavioryoure sure get 
1160,@user I hope the fuck not ,1, user hope fuck 
1161,@user @user @user @user @user @user She is a master at twisting words and meaning. ,0, user user user user user user master twisting word meaning 
1162,@user Yes he is. ,0, user yes 
1163,@user Haven't watched it in years.  #NoNFLZoneHome @user #QAnon #MAGA. ,0, user havent watched year  nonflzonehome user qanon maga 
1164,@user @user Every identity deals with their rep differently. But to say that Conservatives aren't ostracized on Canadian campuses for their views is pretty dumb. Have you never seen a Conservative booth at a uni society expo? Let alone even try to organize something as a conservative? ,0, user user every identity deal rep differently say conservative arent ostracized canadian campus view pretty dumb never seen conservative booth uni society expo let alone even try organize something conservative 
1165,@user It's great to see you posting this. It shows everyone the disrespect you have for teachers and their role. And it proves that you are wholly unsuitable for any position in parliament. ,0, user great see posting show everyone disrespect teacher role prof wholly unsuitable position parliament 
1166,@user Google got big by being the best search engine.  This is one reason why it is no longer a trustworthy search engine. @user ,0, user google got big best search engine  one reason longer trustworthy search engine user 
1167,@user @user That’s where your wrong. Only ruins conservatives. If it was a dem he would be considered for head of dnc ,0, user user thats wrong ruin conservative dem would considered head dnc 
1168,@user How awesome!  Takes pictures!  She is such an icon and legend.  What a pioneer for women!  Enjoy it! ,0, user awesome  take picture  icon legend  pioneer woman  enjoy 
1169,@user Not smearing Canadian Conservatives. Reread my first tweet and tell me again that I’m wrong. ,0, user smearing canadian conservative reread first tweet tell im wrong 
1170,@user @user I think u are right... She is in deed wearing the same Jersey🙌 ,0, user user think u right deed wearing jersey 
1171,@user &amp; @user come save America just like the superheroes you are ,0, user amp user come save america like superheroes 
1172,@user Kavanaugh needs to stop lying... I believe this woman's account is credible and he is not going to be able to dodge it. ,1, user kavanaugh need stop lying believe woman account credible going able dodge 
1173,#LeviStrauss #CEO takes a side on gun control: ‘It’s inevitable that we’re going to alienate some consumers’ ,0, levistrauss ceo take side gun control inevitable going alienate consumer 
1174,"@user My husband is getting his PhD in physics while I'm getting mine in chemistry. We usually get the wide-eyed recoil that clearly says, you are not normal humans, and I can have nothing in common with you."""" Followed by the polite excuse to stop talking with us."""" ",0, user husband getting phd physic im getting mine chemistry usually get wideeyed recoil clearly say normal human nothing common followed polite excuse stop talking u 
1175,@user He’s not even one of the strongest conservatives that could have been nominated and it has still come to this. ,0, user he even one strongest conservative could nominated still come 
1176,@user @user @user Really good news for us conservatives in Texas. Gives repubs supermajority in Senate. ,0, user user user really good news u conservative texas give repubs supermajority senate 
1177,@user @user @user Trump is a very sick man. He is toxic and mean spirited. ,1, user user user trump sick man toxic mean spirited 
1178,@user Fuckin poisonous group of people. As soon as someone hands me a hat with a propeller on top... I'm out.  Find another company to work for lemmings. ,1, user fuckin poisonous group people soon someone hand hat propeller top im  find another company work lemming 
1179,@user What?  All 12 of them?  What about the terrorists Antifa?  Farrakhan’s hateful and racist thugs?  BLM criminals?  Black Panthers?  Those groups have NO place either! ,1, user    terrorist antifa  farrakhans hateful racist thug  blm criminal  black panther  group place either 
1180,@user A better decision by the students would be to go to a community college at a fraction of the cost and actually learn something worthwhile.... over priced courses like this are an absolute waste of money...how many articles have been written lately on amount of student debt? ,0, user better decision student would go community college fraction cost actually learn something worthwhile priced course like absolute waste moneyhow many article written lately amount student debt 
1181,@user @user @user She probably did not think it would get this far. I hope the little sleaze does not go to the hearing and I hope if she does that they will prove what a liar conniving witch she and the rest of the Liberals are. ,1, user user user probably think would get far hope little sleaze go hearing hope prove liar conniving witch rest liberal 
1182,@user @user @user Thank you for your conscience and actions. ,0, user user user thank conscience action 
1183,@user I don’t understand why she should be heard.  I SHOULD BE HEARD and I have pictures and scars from my TRAUMA #ILLEGALALIEN left his car I. The middle of #405 fwy in 1982 - when I was 18!  We were badly damaged!  #California #losangeles #Kavanaugh #MAGA ,0, user dont understand heard  heard picture scar trauma illegalalien left car middle  fwy     badly damaged  california losangeles kavanaugh maga 
1184,@user remember when antifa was respectable and intimidating??  me neither lmao ,0, user remember antifa respectable intimidating  neither lmao 
1185,@user I hope they beat his ass in private. ,1, user hope beat as private 
1186,"@user You are welcome. I don't always say it, but I'm so greatfull for this... everything. Thank you... we had nothing and you and Thor has given us everything. So if you ever need anything in return, just say the word and we will help,""""   She truly was just so greatfull."""" ",0, user welcome dont always say im greatfull everything thank nothing thor given u everything ever need anything return say word help   truly greatfull 
1187,@user BS.  People died in PR because the local government is corrupt. ,1, user b  people died pr local government corrupt 
1188,.@USER real goal: To make everyone in Wisconsin as dumb as he is. ,1, user real goal make everyone wisconsin dumb 
1189,@user Hm? Of course. ,0, user hm course 
1190,@user @user Some of Christine Blasey Ford fine upstanding AMERICANS she follows: Beverly Hills Antifa Laguna Beach Antifa Neverland Antifa Midwest Antifa Boston Bob Antifa Wait for it; ANTHONY WEINER - INMATE# 3425742 @user Kinda says it all! WWG1WGA PATRIOTS... ,0, user user christine blasey ford fine upstanding american follows beverly hill antifa laguna beach antifa neverland antifa midwest antifa boston bob antifa wait anthony weiner  inmate  user kinda say wwgwga patriot 
1191,He is awesome!!!! So personable and I know these people so appreciate him being there. MAGA ,0, awesome personable know people appreciate maga 
1192,@user @user Yeah like conservatives are synonymous with truth telling. Pleeease. ,0, user user yeah like conservative synonymous truth telling pleeease 
1193,@user What do you like to do when you are with your family? #AskAlly ,0, user like family askally 
1194,"@user @user Antifa otherwise known as NAZI Brownshirts""""  I never thought of that comparison before, lol.  It's ironic that they're the one's that call everyone else a 'nazi' for disagreeing with anything they say, lol."""" ",1, user user antifa otherwise known nazi brownshirt  never thought comparison lol  ironic theyre one call everyone else nazi disagreeing anything say lol 
1195,@user Much suckage if bad. And it don’t look good. ,0, user much suckage bad dont look good 
1196,@user @user @user Are you suggesting that I fall for that? I certainly do not support the liberals vis-à-ve Democrats agenda. Read my Tweets. I’m on the right so VOTE GOP 🇺🇸. ,0, user user user suggesting fall certainly support liberal visve democrat agenda read tweet im right vote gop  
1197,@user @user @user The only ones building on hate and division right now are the Dems and their enforcers Antifa and Naxine Watters. ,0, user user user one building hate division right dems enforcer antifa naxine watters 
1198,@user I am jealous.  I would love to work in the White House with these fine people.  Hell I would dust the window's just to be a part of this fabulous time and team.  God Bless you all. MAGA ,0, user jealous  would love work white house fine people  hell would dust window part fabulous time team  god bless maga 
1199,@user has this tropics update for us now... but she'll have the very latest details on #Florence with the new 11 p.m. advisory.   Be sure to join us TONIGHT at 11 for @user News. #NBCCT ,0, user tropic update u shell latest detail florence new  pm advisory   sure join u tonight  user news nbcct 
1200,@user It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia. ,0, user time conservative binnedboris sent lyin lynton back australia 
1201,@user EXPOSE these demons violating our Constitution with violence &amp; threats to run govt instead of winning at the polls! Name them domestic terrorists &amp; jail them all. ,1, user expose demon violating constitution violence amp threat run govt instead winning poll name domestic terrorist amp jail 
1202,@user @user How about sensible gun control? ,0, user user sensible gun control 
1203,@user You are here ,0, user 
1204,@user @user @user So?what's wrong with white guys?..I'm a PROUD Caucasian &amp;Colombian American woman and I happen to like ALL these WHITE men that represent me..especiallySen.Kennedy...We are soooo done with identity politics from liberals. ,1, user user user sowhats wrong white guysim proud caucasian ampcolombian american woman happen like white men represent meespeciallysenkennedywe soooo done identity politics liberal 
1205,#workout When you have a fat belly then you are insulin resistant and can fix it with out medications by fasting... details are here ,0, workout fat belly insulin resistant fix medication fasting detail 
1206,@user @user lmao @ the WORLD league viewership compared to league of legends or overwatch or cs:go. Main issues are that the format is shit and the game is on console. So you need to fix one of them. Console could be turned into an advantage uf u capture the attention of Joe Shmo ,1, user user lmao  world league viewership compared league legend overwatch csgo main issue format shit game console need fix one console could turned advantage uf u capture attention joe shmo 
1207,"@user @user And Lambda would be on the lower end, as others are saying on the high end is trying for influence.  Anyway, you are right in that I wasn't using better investment"""" exclusively from a $ return PoV, but from a """"quality of life return"""" PoV... some of that is money but not all."""" ",0, user user lambda would lower end others saying high end trying influence  anyway right wasnt using better investment exclusively  return pov quality life return pov money 
1208,@user But gun control will keep the terrorists from shooting ,0, user gun control keep terrorist shooting 
1209,@user Cats are just special dogs ,0, user cat special dog 
1210,-c- She is also wearing black leggings/boots. This attire was later shown to be her outfit in Route 01 #Enebot ,0, c also wearing black leggingsboots attire later shown outfit route  enebot 
1211,@user He’s the fart in the wind of history. ,0, user he fart wind history 
1212,@user @user @user @user Welcome guys!!! ,0, user user user user welcome guy 
1213,@user bro your twinsie resemblance to my brother in UNCANNY! He is 30 years old now - maybe you are long lost bros? Which would make US BROS! LOL ,0, user bro twinsie resemblance brother uncanny  year old  maybe long lost bros would make u bros lol 
1214,@user @user @user @user Q said to expand our thinking. This is what I came up with. I hope I put it in a graphic people can understand. #QAnon #GreatAwakening #PatriotsFight #WeThePeople #UnitedWeStand #KAG #MAGA #WakeUp #WalkAway #RedOctober ,0, user user user user q said expand thinking came hope put graphic people understand qanon greatawakening patriotsfight wethepeople unitedwestand kag maga wakeup walkaway redoctober 
1215,@user just saw your algae commercial blaming @user that’s pretty rich considering you are the Gov and have done zero zip and now you want to be Senator of FL. ,1, user saw algae commercial blaming user thats pretty rich considering gov done zero zip want senator fl 
1216,@user @user Liberals have always wanted to get their hands in your wallet and and now they want to get them in your pants. ,0, user user liberal always wanted get hand wallet want get pant 
1217,@user @user We already have gun control.  Who would have thought that criminals wouldn't follow the law?  Let's make more laws telling them not to break THOSE laws! ,0, user user already gun control  would thought criminal wouldnt follow law  let make law telling break law 
1218,@user No it’s not. ,0, user 
1219,@user @user she is a bad girl ! bad bad gril :) ,0, user user bad girl  bad bad gril  
1220,@user @user We have to fight to not see that here! Gun control out of control. ,0, user user fight see gun control control 
1221,@user @user @user @user @user Holy shit that's awesome ,1, user user user user user holy shit thats awesome 
1222,"@user Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."""" and the rest standin there like """"....nope he is no suffering"""" """"so he is dead!"""" """"...yeah, pretty dead"""""""" ",0, user omg xd worst best case best cuase made laught part asking dead hurt poor thing rest standin like nope suffering dead yeah pretty dead 
1223,@user I’ve been following this doll since 06 and he is a STAR. I love you 😍 ,0, user ive following doll since  star love  
1224,@user He will get what he deserves in the Mens prison........ ,0, user get deserves men prison 
1225,@user Get out!!!! ,0, user get 
1226,@user @user I turn the tv off when Juan speaks. He is a real sicko. ,1, user user turn tv juan speaks real sicko 
1227,@user When you put fortnite on the poll instead of Spider-Man ,0, user put fortnite poll instead spiderman 
1228,@user He knew the email were released earlier! Just pandering to his ignorant base ,1, user knew email released earlier pandering ignorant base 
1229,@user I believe Soros is also the main financier or his socialist organizations are of the ANTIFA  protestors - more paid actors.👎😲 ,0, user believe soros also main financier socialist organization antifa  protestors  paid actor 
1230,@user I blame @user for inciting violence and she should be held accountable! She is a despicable disgrace. ,1, user blame user inciting violence held accountable despicable disgrace 
1231,@user AARON RODGERS WILL NEVER WIN A RING THE REST OF HIS SAD ASS CAREER! I HOPE YOU HIS REGULAR SEASON HEROICS CAUSE THATS ALL HE IS GOOD FOR! HAVE A NICE DAY! ,1, user aaron rodgers never win ring rest sad as career hope regular season heroic cause thats good nice day 
1232,@user OH MY GOSH!! I LOVE HER!!!! a beautiful loaf &lt;3 you are an angel for taking care of her! ,0, user oh gosh love beautiful loaf lt angel taking care 
1233,@user @user He is both evil and delusional. He eats those high quality paint chips. ,1, user user evil delusional eats high quality paint chip 
1234,"@user Gritting her teeth, the blonde then broke her shield and feeling pumped the blonde charged after him. Give me all you got!"""" She then tossed some of her darts, aiming for his legs and would cause only minor pain. """"Show me how tough you are!"""""""" ",0, user gritting teeth blonde broke shield feeling pumped blonde charged give got tossed dart aiming leg would cause minor pain show tough 
1235,@user can we start shooting the blue thugs? then going through their shit and saying thats why they died? cuz this is fucking infuriating. WTF does it matter there is pot in his home. WHAT is in HER home?! SHE is the guilty one not HIM. ,1, user start shooting blue thug going shit saying thats died cuz fucking infuriating wtf matter pot home home guilty one 
1236,@user @user Barking mad you are   🎥 who let the dogs out-Bekhit Fahim - YouTube ,0, user user barking mad    let dog outbekhit fahim  youtube 
1237,@user ajsjjsjdkkdjdk i want him so much he’d literally tell me to die and i’d obey him ,1, user ajsjjsjdkkdjdk want much hed literally tell die id obey 
1238,@user Donald Trump has always been a dangerous animal to the defeated liberal left demonrat and communists like Brennan. ,0, user donald trump always dangerous animal defeated liberal left demonrat communist like brennan 
1239,@user @user Dammit!! I fell asleep. Can someone tell me what they were chanting about? ,0, user user dammit fell asleep someone tell chanting 
1240,@user Her family consist of : -Cheating husband who never loved her -two bonus boys who made it clear she is not their mom and never will be - in laws who show more affection to stray cats than Wewe. - paid employees who laugh at her while cashing her checks. ,1, user family consist  cheating husband never loved two bonus boy made clear mom never  law show affection stray cat wewe  paid employee laugh cashing check 
1241,@user Here are the husbands: 1945 Mrs Dean 1969 Mrs Peterson Lawton 2000 when she is dead Mrs. Peterson.  I think Peterson came after Lawton 1967 she divorced Lawton  Lawton had 6 wives last count lol ,0, user husband  mr dean  mr peterson lawton  dead mr peterson  think peterson came lawton  divorced lawton  lawton  wife last count lol 
1242,@user She is drinking so much koolaid she’s bloated. ,1, user drinking much koolaid shes bloated 
1243,*overheard convo*  dad: he’s talking about Gov. Brown. I’d like to shoot him. He’s a terrible man   small child: but why? That’d make you a criminal!  dad: it’d be worth. all liberals need to die   small child: wow that’s sad   It’s naive to think these beliefs are dying off ,0, overheard convo  dad he talking gov brown id like shoot he terrible man   small child thatd make criminal  dad itd worth liberal need die   small child wow thats sad   naive think belief dying 
1244,@user The Democrats do not care ...they are out to destroy ..does not matter just so they are Republicans &amp; Conservatives ⁉️ ,1, user democrat care destroy matter republican amp conservative  
1245,@user @user Grab em by the pussy!!!  What's the problem? ,1, user user grab em pussy  whats problem 
1246,@user MAGA hats ? ,0, user maga hat  
1247,@user Good ..  she is the one that seems sexist ,1, user good   one seems sexist 
1248,@user Answer: DiFi and Antifa Democrats have NO sense of decency remaining ,0, user answer difi antifa democrat sense decency remaining 
1249,Teach the children well     #MAGA2020 #WeThePeople #MAGA #Qanon8chan (Constitution Song) via @user ,0, teach child well     maga wethepeople maga qanonchan constitution song via user 
1250,@user @user @user He is awful. And so smug. ,1, user user user awful smug 
1251,"@user That's heartbreaking to read. Keep being the best you. There are many that will see you in a Wow. Look at what he is doing"""" and light up with pride.  Head high. One foot in front of the other."""" ",0, user thats heartbreaking read keep best many see wow look light pride  head high one foot front 
1252,@user Buck up buttercup! ,0, user buck buttercup 
1253,@user @user ..........kindergarten for adults??? ,0, user user kindergarten adult 
1254,@user @user ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached. ,1, user user antifa giving death threat professor ford threatening violence candidate loses spanky impeached 
1255,@user I respect you so much. I love what youfe doing regarding our youth and our culture. Thank you for loving your people. You are loved and appreciated. Blessings multiplied u to you! ,0, user respect much love youfe regarding youth culture thank loving people loved appreciated blessing multiplied u 
1256,@user He is so funny 😂😂😂 ,0, user funny  
1257,@user AS IT SHOULD BE! ,0, user 
1258,"@user @user @user Whenever conservatives lose a court ruling, they bitch and moan about activist judges or agenda judges."""" Whenever anyone else loses a court ruling, they accept that they lost a court ruling. Conservatives are whiny babies."""" ",1, user user user whenever conservative lose court ruling bitch moan activist judge agenda judge whenever anyone else loses court ruling accept lost court ruling conservative whiny baby 
1259,@user @user What services will you cut? If the answer is 'none' what specific 'waste' will you eliminate? Without an answer to these your commitment is nothing but political flannel. ,0, user user service cut answer none specific waste eliminate without answer commitment nothing political flannel 
1260,@user @user The left have become a bunch of thugs. #NancyPelosi #chuckschumer ,1, user user left become bunch thug nancypelosi chuckschumer 
1261,@user @user then you are not equipped to adopt. period ,0, user user equipped adopt period 
1262,@user Carrey is becoming weird like peewee Herman... ,1, user carrey becoming weird like peewee herman 
1263,@user Good to see your hosting of the Emmys' bombed. Seems only Liberals like no humor. You won't be asked back. Career killer. You were Da rating tanking Bomb. Now go celebrate with your liberal pals. ,1, user good see hosting emmy bombed seems liberal like humor wont asked back career killer da rating tanking bomb go celebrate liberal pal 
1264,@user @user @user No way this woman was threatened and had to move out of her house because of conservatives or Republicans ,0, user user user way woman threatened move house conservative republican 
1265,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user That nutbar hasn’t blocked you Todd? She blocked me and gave no clue who she is ,0, user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user user nutbar hasnt blocked todd blocked gave clue 
1266,*60 … * Sixty year old!   Man ...... she is fine ,0,    sixty year old   man  fine 
1267,@user @user @user Super storm Sandy hit the North East. I agree with you though. People here have a bad idea of the east coast and it's pretty cool. The north east gets all 4 seasons at least. We get rain and summer. ,0, user user user super storm sandy hit north east agree though people bad idea east coast pretty cool north east get  season least get rain summer 
1268,@user Good ,0, user good 
1269,@user How about Sessions indict him and his cohorts for Operation Fast and Furious ,0, user session indict cohort operation fast furious 
1270,@user @user @user @user @user @user Deserved better ,0, user user user user user user deserved better 
1271,@user Antifa should be declared a domestic terrorist organization. ,0, user antifa declared domestic terrorist organization 
1272,@user @user Antifa is a domestic terrorist group  ,1, user user antifa domestic terrorist group  
1273,@user Down with liberals! ,1, user liberal 
1274,"@user It was Billy Clinton's Welfare Reform"""" that caused this. To be clear Billy Clinton is Republican Lite, like Hillary is. The Clinton's campaign on Progressivism, but govern as conservatives."""" ",0, user billy clinton welfare reform caused clear billy clinton republican lite like hillary clinton campaign progressivism govern conservative 
1275,@user @user So we should be denouncing Democrats &amp; their ANTIFA Thugs? Done &amp; Done!!! ,1, user user denouncing democrat amp antifa thug done amp done 
1276,@user She is ,0, user 
1277,@user have you ever served this country other than be elected? Because that is not the same!  Have you ever put your life on the line for others?!  I am one of the Dregs Of Society! #DregsOfSociety 🇺🇸#MAGA ,0, user ever served country elected  ever put life line others  one dreg society dregsofsociety maga 
1278,@user @user MSM/Democrats/Liberals describe Antifa as “Peaceful Demonstrators.” In my opinion they are a Democrat Army preparing for war.👹👹👹 ,0, user user msmdemocratsliberals describe antifa peaceful demonstrator opinion democrat army preparing war 
1279,@user All communist Democrat socialists are bad humans. ,1, user communist democrat socialist bad human 
1280,@user Winston thinks she is lovely ,0, user winston think lovely 
1281,@user It’s going to suck with any rating. Venom without the Spiderman origin isn’t really Venom. This is just a Sony cash grab. ,1, user going suck rating venom without spiderman origin isnt really venom sony cash grab 
1282,@user @user Yes it did... And it's on editorial... Is Joe Q the editor of X-Men... No he isn't... He is editor in Chief. He is the boss of all the other editors... Sooo he wasn't responsible... I shouldn't be arguing because this is stupid... ,1, user user yes editorial joe q editor xmen isnt editor chief bos editor sooo wasnt responsible shouldnt arguing stupid 
1283,@user @user We need a wild wild web for conservatives. ,0, user user need wild wild web conservative 
1284,@user @user @user You are not helping people your case lol ,0, user user user helping people case lol 
1285,@user @user Its unfortunately not as cut and dry as all that. Gun laws vary per state. Even cities. Compare Chicago that has extreme gun control with New York that has almost the same level. Yet Chicago has horrible gun crime and NY not to that extent? Criminals are the problem. ,0, user user unfortunately cut dry gun law vary per state even city compare chicago extreme gun control new york almost level yet chicago horrible gun crime ny extent criminal problem 
1286,"@user Someone should'veTaken"""" this piece of shit to a volcano. 😂"""" ",1, user someone shouldvetaken piece shit volcano  
1287,@user you are something else😍 ,0, user something else 
1288,@user I really thought so. He is the God of rap. How do you come back from that ,1, user really thought god rap come back 
1289,Business is business. I love this story. URL ,1, business business love storyurl 
1290,@user @user Jeff I have a lot of respect for you.    Please vote no to Brett -  not because you don’t like him but because it’s the right thing to do.  He has lied - he is hiding documents -  he thinks trump is above the law.   THIS IS WRONG !!! ,1, user user jeff lot respect    please vote brett   dont like right thing  lied  hiding document   think trump law   wrong  
1291,@user This is the realest (and tealest) shit ever. Eric da gawd ,1, user realest tealest shit ever eric da gawd 
1292,@user @user Both of them..... ,0, user user 
1293,@user @user @user @user @user Sorry and yes you are very wrong as most people who don’t read the science behind the generation and subsidies are. My page is a good place to start but reading 10-20 books on the subject will get you some excellent schooling. Very complex. ,0, user user user user user sorry yes wrong people dont read science behind generation subsidy page good place start reading  book subject get excellent schooling complex 
1294,@user @user 100% agree.  If we see him starting this year it is because Maxi goes cold.  I hope he is a next year starter... ,0, user user  agree  see starting year maxi go cold  hope next year starter 
1295,@user #cnn will go down in flames with the rest of the liberals.  They are far too clueless to change. ,1, user cnn go flame rest liberal  far clueless change 
1296,@user What would happen if she were to support gun control? Would the NRA help her opponent? ,0, user would happen support gun control would nra help opponent 
1297,@user America first #MAGA magic ,0, user america first maga magic 
